timestamp,total,lost,time_interval,latitude,longitude
1754913375,4717,13,1.118479,48.264365,11.669084
1754913378,4717,96,1.094595,48.264349,11.669195
1754913380,4717,0,1.141891,48.26433,11.669345
1754913382,4717,0,1.106613,48.264312,11.669501
1754913383,4717,810,1.101427,48.264303,11.66958
1754913386,4717,0,1.101383,48.264274,11.669815
1754913387,4717,1,1.109899,48.264264,11.669891
1754913390,4717,6,1.104457,48.264237,11.67011
1754913392,4717,26,1.118922,48.264224,11.670249
1754913393,4717,0,1.161139,48.264219,11.670317
1754913396,4717,135,1.097061,48.264201,11.670506
1754913398,4717,0,1.118177,48.264178,11.670618
1754913400,4717,50,1.093661,48.264158,11.670724
1754913402,4717,8,1.118849,48.264146,11.670809
1754913403,4717,0,1.074391,48.264142,11.670839
1754913406,4717,71,1.121211,48.264138,11.670861
1754913407,4717,0,1.086652,48.264138,11.670861
1754913409,4717,14,1.11911,48.264135,11.670873
1754913411,4717,0,1.104654,48.264105,11.670924
1754913413,4717,31,1.081759,48.264033,11.670926
1754913416,4717,0,1.084418,48.263882,11.670868
1754913419,4717,0,1.099134,48.263681,11.670793
1754913422,4717,22,1.107358,48.263453,11.670701
1754913425,4717,2,1.108067,48.263201,11.670601
1754913428,4717,0,1.088165,48.262934,11.670497
1754913430,4717,0,1.521104,48.262749,11.670426
1754913433,4717,7,1.326814,48.262463,11.670318
1754913435,4717,0,1.116968,48.262265,11.670241
1754913436,4717,3,1.225012,48.262166,11.670203
1754913438,4717,0,1.392446,48.261967,11.670126
1754913441,4717,0,1.801424,48.261669,11.670011
1754913444,4717,0,1.868482,48.261394,11.669912
1754913447,4717,184,1.244486,48.26119,11.669796
1754913450,4717,0,1.143564,48.261115,11.669575
1754913452,4717,0,1.128421,48.261138,11.669349
1754913453,4717,3,1.147051,48.261152,11.669215
1754913456,4717,2,1.083437,48.261202,11.668775
1754913458,4717,27,1.927783,48.26124,11.668464
1754913462,4717,0,2.634719,48.26132,11.66781
1754913465,4717,24,1.424467,48.261379,11.667309
1754913468,4717,0,1.448402,48.261438,11.666793
1754913470,4717,0,1.63423,48.261474,11.666433
1754913474,4717,27,2.401336,48.261566,11.665705
1754913478,4717,0,3.661594,48.261658,11.665007
1754913482,4717,2,2.484442,48.261734,11.664357
1754913485,4717,0,2.583639,48.261791,11.663862
1754913518,4717,0,1.425947,48.262522,11.658579
1754913522,4717,0,1.121558,48.262645,11.658369
1754913525,4717,109,1.296171,48.26283,11.658424
1754913528,4717,15,1.115822,48.263084,11.658605
1754913530,4717,0,1.156136,48.263285,11.658755
1754913532,4717,0,1.091035,48.263507,11.658916
1754913536,4717,201,3.036937,48.263984,11.659275
1754913539,4717,1,2.6515,48.264362,11.659565
1754913541,4717,53,1.111819,48.264621,11.659765
1754913542,4717,0,1.131487,48.264752,11.659867
1754913546,4717,0,2.717619,48.265288,11.660279
1754913549,4717,1,1.902052,48.265692,11.6606
1754913552,4717,24,2.223478,48.266097,11.660932
1754913556,4717,0,2.208003,48.266625,11.661399
1754913559,4717,27,1.547777,48.267018,11.661761
1754913561,4717,0,1.570741,48.267277,11.662009
1754913563,4717,48,2.033723,48.26753,11.662258
1754913566,4717,0,1.865009,48.267905,11.662633
1754913574,4717,389,6.295957,48.268915,11.663637
1754913580,4717,442,5.392233,48.269686,11.664412
1754913584,4717,0,2.855364,48.270184,11.664985
1754913589,4717,477,5.223695,48.270845,11.665633
1754913596,4717,0,4.837978,48.271757,11.666561
1754913602,4717,584,4.483464,48.272523,11.667355
1754913604,4717,33,1.599595,48.272777,11.66762
1754913607,4717,0,1.698031,48.273159,11.668017
1754913610,4717,110,1.595318,48.273538,11.668414
1754913612,4717,46,1.370536,48.273793,11.668676
1754913614,4717,0,1.546352,48.274047,11.668938
1754913617,4717,25,1.127013,48.274427,11.669333
1754913620,4717,3,2.247584,48.274808,11.669726
1754913622,4717,0,1.51414,48.27506,11.669989
1754913624,4717,0,1.295489,48.275312,11.670251
1754913626,4717,0,1.99518,48.275562,11.670512
1754913629,4717,52,1.799316,48.275934,11.670901
1754913631,4717,1,1.704153,48.276176,11.67115
1754913633,4717,1,1.360682,48.276401,11.671384
1754913634,4717,0,1.352339,48.276504,11.671491
1754913637,4717,1,1.652754,48.276798,11.671798
1754913638,4717,850,1.140162,48.276897,11.671901
1754913640,4717,0,1.211365,48.277097,11.672109
1754913642,4717,258,1.120898,48.277299,11.672316
1754913644,4717,117,1.12118,48.277502,11.672526
1754913645,4717,2,1.323727,48.277603,11.672635
1754913648,4717,25,1.361355,48.2779,11.672972
1754913651,4717,232,2.698708,48.278198,11.673282
1754913657,4716,263,4.185207,48.278749,11.673948
1754913660,4717,0,3.094003,48.278993,11.674324
1754913666,4717,591,4.32879,48.279455,11.675092
1754913669,4717,0,2.821156,48.279681,11.675473
1754913672,4717,0,2.275313,48.279905,11.675852
1754913674,4717,0,1.95307,48.280053,11.676101
1754913679,4717,0,3.747767,48.280487,11.676556
