timestamp,latency,tx_bitrate_mbps,latitude,longitude,bw_timestamp,total,lost,time_interval
1754910588,40.4,0.416,48.26419,11.669741,1754913386,4717,0,1.101383
1754910588,40.4,0.416,48.26419,11.669741,1754913387,4717,1,1.109899
1754910589,39.7,0.275,48.26419,11.669741,1754913386,4717,0,1.101383
1754910589,39.7,0.275,48.26419,11.669741,1754913387,4717,1,1.109899
1754910590,59.1,0.288,48.264196,11.66979,1754913386,4717,0,1.101383
1754910590,59.1,0.288,48.264196,11.66979,1754913387,4717,1,1.109899
1754910591,52.7,0.374,48.264172,11.669828,1754913386,4717,0,1.101383
1754910591,52.7,0.374,48.264172,11.669828,1754913387,4717,1,1.109899
1754910592,46.9,0.357,48.264174,11.669884,1754913386,4717,0,1.101383
1754910592,46.9,0.357,48.264174,11.669884,1754913387,4717,1,1.109899
1754910593,47.2,0.237,48.264174,11.669884,1754913386,4717,0,1.101383
1754910593,47.2,0.237,48.264174,11.669884,1754913387,4717,1,1.109899
1754910594,51.0,0.266,48.264174,11.669884,1754913386,4717,0,1.101383
1754910594,51.0,0.266,48.264174,11.669884,1754913387,4717,1,1.109899
1754910595,49.5,0.35,48.264174,11.669884,1754913386,4717,0,1.101383
1754910595,49.5,0.35,48.264174,11.669884,1754913387,4717,1,1.109899
1754910596,48.6,0.405,48.264174,11.669884,1754913386,4717,0,1.101383
1754910596,48.6,0.405,48.264174,11.669884,1754913387,4717,1,1.109899
1754910597,43.3,0.399,48.264174,11.669884,1754913386,4717,0,1.101383
1754910597,43.3,0.399,48.264174,11.669884,1754913387,4717,1,1.109899
1754910598,40.9,0.288,48.264174,11.669884,1754913386,4717,0,1.101383
1754910598,40.9,0.288,48.264174,11.669884,1754913387,4717,1,1.109899
1754910599,48.9,0.325,48.264174,11.669884,1754913386,4717,0,1.101383
1754910599,48.9,0.325,48.264174,11.669884,1754913387,4717,1,1.109899
1754910600,62.5,0.437,48.264174,11.669884,1754913386,4717,0,1.101383
1754910600,62.5,0.437,48.264174,11.669884,1754913387,4717,1,1.109899
1754910601,40.6,0.328,48.264174,11.669884,1754913386,4717,0,1.101383
1754910601,40.6,0.328,48.264174,11.669884,1754913387,4717,1,1.109899
1754910602,44.5,0.337,48.264174,11.669884,1754913386,4717,0,1.101383
1754910602,44.5,0.337,48.264174,11.669884,1754913387,4717,1,1.109899
1754910603,58.8,0.389,48.264174,11.669884,1754913386,4717,0,1.101383
1754910603,58.8,0.389,48.264174,11.669884,1754913387,4717,1,1.109899
1754910604,43.0,0.325,48.264184,11.670641,1754913396,4717,135,1.097061
1754910604,43.0,0.325,48.264184,11.670641,1754913398,4717,0,1.118177
1754910604,43.0,0.325,48.264184,11.670641,1754913400,4717,50,1.093661
1754910605,46.1,0.321,48.264176,11.670696,1754913398,4717,0,1.118177
1754910605,46.1,0.321,48.264176,11.670696,1754913400,4717,50,1.093661
1754910605,46.1,0.321,48.264176,11.670696,1754913402,4717,8,1.118849
1754910605,46.1,0.321,48.264176,11.670696,1754913403,4717,0,1.074391
1754910606,37.7,0.354,48.264179,11.67074,1754913398,4717,0,1.118177
1754910606,37.7,0.354,48.264179,11.67074,1754913400,4717,50,1.093661
1754910606,37.7,0.354,48.264179,11.67074,1754913402,4717,8,1.118849
1754910606,37.7,0.354,48.264179,11.67074,1754913403,4717,0,1.074391
1754910606,37.7,0.354,48.264179,11.67074,1754913406,4717,71,1.121211
1754910606,37.7,0.354,48.264179,11.67074,1754913407,4717,0,1.086652
1754910606,37.7,0.354,48.264179,11.67074,1754913409,4717,14,1.11911
1754910607,48.4,0.287,48.264174,11.67078,1754913400,4717,50,1.093661
1754910607,48.4,0.287,48.264174,11.67078,1754913402,4717,8,1.118849
1754910607,48.4,0.287,48.264174,11.67078,1754913403,4717,0,1.074391
1754910607,48.4,0.287,48.264174,11.67078,1754913406,4717,71,1.121211
1754910607,48.4,0.287,48.264174,11.67078,1754913407,4717,0,1.086652
1754910607,48.4,0.287,48.264174,11.67078,1754913409,4717,14,1.11911
1754910607,48.4,0.287,48.264174,11.67078,1754913411,4717,0,1.104654
1754910607,48.4,0.287,48.264174,11.67078,1754913413,4717,31,1.081759
1754910608,50.4,0.22,48.26417,11.670808,1754913400,4717,50,1.093661
1754910608,50.4,0.22,48.26417,11.670808,1754913402,4717,8,1.118849
1754910608,50.4,0.22,48.26417,11.670808,1754913403,4717,0,1.074391
1754910608,50.4,0.22,48.26417,11.670808,1754913406,4717,71,1.121211
1754910608,50.4,0.22,48.26417,11.670808,1754913407,4717,0,1.086652
1754910608,50.4,0.22,48.26417,11.670808,1754913409,4717,14,1.11911
1754910608,50.4,0.22,48.26417,11.670808,1754913411,4717,0,1.104654
1754910608,50.4,0.22,48.26417,11.670808,1754913413,4717,31,1.081759
1754910609,49.3,0.232,48.264162,11.670831,1754913400,4717,50,1.093661
1754910609,49.3,0.232,48.264162,11.670831,1754913402,4717,8,1.118849
1754910609,49.3,0.232,48.264162,11.670831,1754913403,4717,0,1.074391
1754910609,49.3,0.232,48.264162,11.670831,1754913406,4717,71,1.121211
1754910609,49.3,0.232,48.264162,11.670831,1754913407,4717,0,1.086652
1754910609,49.3,0.232,48.264162,11.670831,1754913409,4717,14,1.11911
1754910609,49.3,0.232,48.264162,11.670831,1754913411,4717,0,1.104654
1754910609,49.3,0.232,48.264162,11.670831,1754913413,4717,31,1.081759
1754910610,51.0,0.296,48.264156,11.670859,1754913400,4717,50,1.093661
1754910610,51.0,0.296,48.264156,11.670859,1754913402,4717,8,1.118849
1754910610,51.0,0.296,48.264156,11.670859,1754913403,4717,0,1.074391
1754910610,51.0,0.296,48.264156,11.670859,1754913406,4717,71,1.121211
1754910610,51.0,0.296,48.264156,11.670859,1754913407,4717,0,1.086652
1754910610,51.0,0.296,48.264156,11.670859,1754913409,4717,14,1.11911
1754910610,51.0,0.296,48.264156,11.670859,1754913411,4717,0,1.104654
1754910610,51.0,0.296,48.264156,11.670859,1754913413,4717,31,1.081759
1754910611,47.1,0.357,48.264153,11.670876,1754913402,4717,8,1.118849
1754910611,47.1,0.357,48.264153,11.670876,1754913403,4717,0,1.074391
1754910611,47.1,0.357,48.264153,11.670876,1754913406,4717,71,1.121211
1754910611,47.1,0.357,48.264153,11.670876,1754913407,4717,0,1.086652
1754910611,47.1,0.357,48.264153,11.670876,1754913409,4717,14,1.11911
1754910611,47.1,0.357,48.264153,11.670876,1754913411,4717,0,1.104654
1754910611,47.1,0.357,48.264153,11.670876,1754913413,4717,31,1.081759
1754910612,47.8,0.454,48.264121,11.670908,1754913402,4717,8,1.118849
1754910612,47.8,0.454,48.264121,11.670908,1754913403,4717,0,1.074391
1754910612,47.8,0.454,48.264121,11.670908,1754913406,4717,71,1.121211
1754910612,47.8,0.454,48.264121,11.670908,1754913407,4717,0,1.086652
1754910612,47.8,0.454,48.264121,11.670908,1754913409,4717,14,1.11911
1754910612,47.8,0.454,48.264121,11.670908,1754913411,4717,0,1.104654
1754910612,47.8,0.454,48.264121,11.670908,1754913413,4717,31,1.081759
1754910613,43.0,0.368,48.264102,11.670924,1754913402,4717,8,1.118849
1754910613,43.0,0.368,48.264102,11.670924,1754913403,4717,0,1.074391
1754910613,43.0,0.368,48.264102,11.670924,1754913406,4717,71,1.121211
1754910613,43.0,0.368,48.264102,11.670924,1754913407,4717,0,1.086652
1754910613,43.0,0.368,48.264102,11.670924,1754913409,4717,14,1.11911
1754910613,43.0,0.368,48.264102,11.670924,1754913411,4717,0,1.104654
1754910613,43.0,0.368,48.264102,11.670924,1754913413,4717,31,1.081759
1754910614,37.1,0.263,48.264078,11.670931,1754913402,4717,8,1.118849
1754910614,37.1,0.263,48.264078,11.670931,1754913403,4717,0,1.074391
1754910614,37.1,0.263,48.264078,11.670931,1754913406,4717,71,1.121211
1754910614,37.1,0.263,48.264078,11.670931,1754913407,4717,0,1.086652
1754910614,37.1,0.263,48.264078,11.670931,1754913409,4717,14,1.11911
1754910614,37.1,0.263,48.264078,11.670931,1754913411,4717,0,1.104654
1754910614,37.1,0.263,48.264078,11.670931,1754913413,4717,31,1.081759
1754910615,53.8,0.257,48.264049,11.670928,1754913402,4717,8,1.118849
1754910615,53.8,0.257,48.264049,11.670928,1754913403,4717,0,1.074391
1754910615,53.8,0.257,48.264049,11.670928,1754913406,4717,71,1.121211
1754910615,53.8,0.257,48.264049,11.670928,1754913407,4717,0,1.086652
1754910615,53.8,0.257,48.264049,11.670928,1754913409,4717,14,1.11911
1754910615,53.8,0.257,48.264049,11.670928,1754913411,4717,0,1.104654
1754910615,53.8,0.257,48.264049,11.670928,1754913413,4717,31,1.081759
1754910616,45.7,0.255,48.264016,11.670917,1754913402,4717,8,1.118849
1754910616,45.7,0.255,48.264016,11.670917,1754913403,4717,0,1.074391
1754910616,45.7,0.255,48.264016,11.670917,1754913406,4717,71,1.121211
1754910616,45.7,0.255,48.264016,11.670917,1754913407,4717,0,1.086652
1754910616,45.7,0.255,48.264016,11.670917,1754913409,4717,14,1.11911
1754910616,45.7,0.255,48.264016,11.670917,1754913411,4717,0,1.104654
1754910616,45.7,0.255,48.264016,11.670917,1754913413,4717,31,1.081759
1754910616,45.7,0.255,48.264016,11.670917,1754913416,4717,0,1.084418
1754910617,50.0,0.322,48.263978,11.670904,1754913411,4717,0,1.104654
1754910617,50.0,0.322,48.263978,11.670904,1754913413,4717,31,1.081759
1754910617,50.0,0.322,48.263978,11.670904,1754913416,4717,0,1.084418
1754910618,41.7,0.281,48.263937,11.670888,1754913413,4717,31,1.081759
1754910618,41.7,0.281,48.263937,11.670888,1754913416,4717,0,1.084418
1754910619,49.9,0.366,48.263893,11.670871,1754913413,4717,31,1.081759
1754910619,49.9,0.366,48.263893,11.670871,1754913416,4717,0,1.084418
1754910620,49.0,0.264,48.263845,11.670852,1754913416,4717,0,1.084418
1754910621,44.9,0.344,48.26379,11.67082,1754913416,4717,0,1.084418
1754910621,44.9,0.344,48.26379,11.67082,1754913419,4717,0,1.099134
1754910622,45.2,0.239,48.26374,11.670808,1754913416,4717,0,1.084418
1754910622,45.2,0.239,48.26374,11.670808,1754913419,4717,0,1.099134
1754910623,51.7,0.336,48.263694,11.670794,1754913419,4717,0,1.099134
1754910624,50.7,0.255,48.263647,11.670774,1754913419,4717,0,1.099134
1754910625,45.1,0.325,48.263597,11.670752,1754913419,4717,0,1.099134
1754910625,45.1,0.325,48.263597,11.670752,1754913422,4717,22,1.107358
1754910626,42.8,0.351,48.26354,11.670729,1754913419,4717,0,1.099134
1754910626,42.8,0.351,48.26354,11.670729,1754913422,4717,22,1.107358
1754910627,46.4,0.297,48.263477,11.670704,1754913422,4717,22,1.107358
1754910628,43.8,0.41,48.263409,11.670678,1754913422,4717,22,1.107358
1754910629,44.0,0.273,48.263339,11.670652,1754913422,4717,22,1.107358
1754910629,44.0,0.273,48.263339,11.670652,1754913425,4717,2,1.108067
1754910630,46.7,0.335,48.263273,11.670631,1754913425,4717,2,1.108067
