timestamp,latency,tx_bitrate_mbps,latitude,longitude
1754910572,53.1,0.297,,
1754910573,52.8,0.409,,
1754910574,45.2,0.406,,
1754910575,42.6,0.36,,
1754910576,48.8,0.454,,
1754910577,46.0,0.4,,
1754910578,52.0,0.391,,
1754910579,42.8,0.324,,
1754910580,43.6,0.316,,
1754910581,45.9,0.293,,
1754910582,49.0,0.408,,
1754910583,51.9,0.469,,
1754910584,46.8,0.407,,
1754910585,43.0,0.347,,
1754910586,46.9,0.424,,
1754910587,45.8,0.451,,
1754910588,40.4,0.416,48.26419,11.669741
1754910589,39.7,0.275,48.26419,11.669741
1754910590,59.1,0.288,48.264196,11.66979
1754910591,52.7,0.374,48.264172,11.669828
1754910592,46.9,0.357,48.264174,11.669884
1754910593,47.2,0.237,48.264174,11.669884
1754910594,51.0,0.266,48.264174,11.669884
1754910595,49.5,0.35,48.264174,11.669884
1754910596,48.6,0.405,48.264174,11.669884
1754910597,43.3,0.399,48.264174,11.669884
1754910598,40.9,0.288,48.264174,11.669884
1754910599,48.9,0.325,48.264174,11.669884
1754910600,62.5,0.437,48.264174,11.669884
1754910601,40.6,0.328,48.264174,11.669884
1754910602,44.5,0.337,48.264174,11.669884
1754910603,58.8,0.389,48.264174,11.669884
1754910604,43.0,0.325,48.264184,11.670641
1754910605,46.1,0.321,48.264176,11.670696
1754910606,37.7,0.354,48.264179,11.67074
1754910607,48.4,0.287,48.264174,11.67078
1754910608,50.4,0.22,48.26417,11.670808
1754910609,49.3,0.232,48.264162,11.670831
1754910610,51.0,0.296,48.264156,11.670859
1754910611,47.1,0.357,48.264153,11.670876
1754910612,47.8,0.454,48.264121,11.670908
1754910613,43.0,0.368,48.264102,11.670924
1754910614,37.1,0.263,48.264078,11.670931
1754910615,53.8,0.257,48.264049,11.670928
1754910616,45.7,0.255,48.264016,11.670917
1754910617,50.0,0.322,48.263978,11.670904
1754910618,41.7,0.281,48.263937,11.670888
1754910619,49.9,0.366,48.263893,11.670871
1754910620,49.0,0.264,48.263845,11.670852
1754910621,44.9,0.344,48.26379,11.67082
1754910622,45.2,0.239,48.26374,11.670808
1754910623,51.7,0.336,48.263694,11.670794
1754910624,50.7,0.255,48.263647,11.670774
1754910625,45.1,0.325,48.263597,11.670752
1754910626,42.8,0.351,48.26354,11.670729
1754910627,46.4,0.297,48.263477,11.670704
1754910628,43.8,0.41,48.263409,11.670678
1754910629,44.0,0.273,48.263339,11.670652
1754910630,46.7,0.335,48.263273,11.670631
1754910631,53.8,0.273,48.263204,11.670602
1754910632,43.8,0.443,48.263136,11.670576
1754910633,46.7,0.3,48.263064,11.670547
1754910634,51.8,0.374,48.262991,11.670519
1754910635,47.1,0.389,48.262917,11.67049
1754910636,57.7,0.366,48.262844,11.670461
1754910637,41.7,0.268,48.26277,11.670434
1754910638,52.9,0.318,48.262697,11.670407
1754910639,59.7,0.348,48.262625,11.670378
1754910640,46.5,0.451,48.262552,11.67035
1754910641,50.9,0.33,48.26248,11.670321
1754910642,44.9,0.369,48.262407,11.670293
1754910643,47.1,0.344,48.262335,11.670265
1754910644,43.3,0.302,48.262262,11.670238
1754910645,43.4,0.421,48.262187,11.67021
1754910646,52.5,0.22,48.262109,11.670181
1754910647,37.1,0.385,48.26203,11.67015
1754910648,57.7,0.342,48.261952,11.670119
1754910649,51.8,0.404,48.261876,11.670089
1754910650,41.7,0.316,48.2618,11.67006
1754910651,45.4,0.343,48.261726,11.670032
1754910652,44.1,0.259,48.261654,11.670003
1754910653,40.6,0.334,48.261585,11.669978
1754910654,46.7,0.423,48.261517,11.669954
1754910655,37.0,0.22,48.261449,11.66993
1754910656,48.8,0.29,48.261384,11.669906
1754910657,46.0,0.239,48.261321,11.66988
1754910658,44.0,0.299,48.261264,11.669852
1754910659,48.8,0.355,48.261211,11.669816
1754910660,44.4,0.27,48.261163,11.669765
1754910661,38.9,0.272,48.261129,11.669696
1754910662,52.9,0.316,48.261116,11.669613
1754910663,48.0,0.435,48.261119,11.669521
1754910664,62.8,0.379,48.26113,11.669423
1754910665,46.8,0.372,48.261142,11.669318
1754910666,45.0,0.447,48.261154,11.669209
1754910667,48.1,0.372,48.261167,11.669098
1754910668,45.3,0.331,48.26118,11.668986
1754910669,40.2,0.351,48.261192,11.668872
1754910670,46.6,0.364,48.261205,11.668756
1754910671,51.9,0.391,48.261218,11.668639
1754910672,59.8,0.345,48.261232,11.668521
1754910673,46.1,0.316,48.261246,11.668399
1754910674,41.8,0.23,48.261261,11.668272
1754910675,47.9,0.361,48.261277,11.66814
1754910676,52.7,0.301,48.261293,11.668007
1754910677,47.6,0.246,48.261309,11.667872
1754910678,56.9,0.255,48.261325,11.667737
1754910679,46.2,0.256,48.261341,11.6676
1754910680,42.6,0.329,48.261358,11.667459
1754910681,53.6,0.294,48.261375,11.667318
1754910682,57.9,0.353,48.261392,11.667176
1754910683,42.2,0.325,48.261409,11.667032
1754910684,53.0,0.411,48.261426,11.666885
1754910685,44.7,0.312,48.261445,11.666735
1754910686,53.7,0.346,48.261464,11.666585
1754910687,50.8,0.276,48.261482,11.666435
1754910688,52.1,0.274,48.2615,11.666285
1754910689,46.7,0.385,48.261517,11.666134
1754910690,53.5,0.357,48.261534,11.665985
1754910691,47.6,0.336,48.261551,11.665837
1754910692,47.9,0.414,48.261568,11.665687
1754910693,52.6,0.349,48.261587,11.665535
1754910694,54.3,0.305,48.261606,11.665381
1754910695,45.8,0.434,48.261625,11.665225
1754910696,40.0,0.341,48.261644,11.665071
1754910697,61.4,0.25,48.261662,11.664916
1754910698,51.2,0.338,48.261681,11.664761
1754910699,73.0,0.278,48.261699,11.664607
1754910700,69.7,0.384,48.261717,11.664452
1754910701,42.4,0.241,48.261736,11.664295
1754910702,47.9,0.276,48.261755,11.664138
1754910703,47.3,0.284,48.261774,11.66398
1754910704,49.8,0.418,48.261793,11.663821
1754910705,57.1,0.377,48.261812,11.663662
1754910706,44.8,0.242,48.261831,11.6635
1754910707,53.1,0.326,48.26185,11.663337
1754910708,51.8,0.288,48.26187,11.663172
1754910709,49.8,0.358,48.26189,11.663004
1754910710,45.7,0.363,48.26191,11.662835
1754910711,50.7,0.328,48.26193,11.662667
1754910712,52.7,0.342,48.261949,11.662503
1754910713,48.1,0.391,48.261968,11.662339
1754910714,41.9,0.309,48.261987,11.662174
1754910715,52.6,0.31,48.262007,11.662007
1754910716,48.0,0.304,48.262026,11.661841
1754910717,50.6,0.293,48.262046,11.661674
1754910718,55.0,0.27,48.262065,11.661509
1754910719,48.9,0.316,48.262083,11.661345
1754910720,47.9,0.319,48.262103,11.661183
1754910721,42.0,0.381,48.262122,11.661023
1754910722,45.6,0.336,48.26214,11.660863
1754910723,46.1,0.303,48.262159,11.660706
1754910724,52.4,0.246,48.262177,11.660548
1754910725,56.5,0.326,48.262197,11.660392
1754910726,56.1,0.333,48.262216,11.660236
1754910727,66.1,0.463,48.262237,11.660083
1754910728,53.7,0.288,48.262257,11.659933
1754910729,50.0,0.308,48.262274,11.659783
1754910730,53.8,0.347,48.262289,11.659636
1754910731,49.3,0.239,48.262305,11.659493
1754910732,56.0,0.36,48.262325,11.659353
1754910733,40.0,0.255,48.262355,11.659219
1754910734,53.8,0.312,48.262393,11.659092
1754910735,55.6,0.347,48.26243,11.658965
1754910736,42.7,0.308,48.262462,11.65884
1754910737,41.8,0.343,48.262488,11.65872
1754910738,50.3,0.392,48.262511,11.658614
1754910739,59.1,0.341,48.262534,11.658527
1754910740,41.9,0.354,48.26256,11.65846
1754910741,48.1,0.323,48.262587,11.658415
1754910742,37.7,0.304,48.262611,11.658392
1754910743,44.9,0.404,48.262626,11.65838
1754910744,38.1,0.296,48.262636,11.658374
1754910745,54.1,0.349,48.262638,11.658373
1754910746,59.7,0.287,48.262638,11.658373
1754910747,56.8,0.401,48.262638,11.658373
1754910748,60.8,0.301,48.262638,11.658373
1754910749,50.1,0.321,48.262638,11.658373
1754910750,43.9,0.238,48.262638,11.658373
1754910751,42.0,0.392,48.262638,11.658373
1754910752,45.9,0.295,48.262638,11.658373
1754910753,47.8,0.388,48.262638,11.658373
1754910754,44.9,0.311,48.262638,11.658373
1754910755,47.5,0.302,48.262638,11.658373
1754910756,45.8,0.332,48.262638,11.658373
1754910757,52.2,0.3,48.262638,11.658373
1754910758,40.9,0.342,48.262638,11.658373
1754910759,48.9,0.323,48.262638,11.658373
1754910760,42.7,0.317,48.262638,11.658373
1754910761,55.1,0.29,48.262639,11.658373
1754910762,35.8,0.341,48.262651,11.658366
1754910763,44.7,0.242,48.262682,11.658356
1754910764,46.7,0.333,48.262728,11.658359
1754910765,50.7,0.422,48.262783,11.658387
1754910766,43.6,0.403,48.262846,11.65843
1754910767,46.1,0.257,48.262918,11.658481
1754910768,51.4,0.349,48.262999,11.65854
1754910769,48.1,0.239,48.263087,11.658605
1754910770,44.0,0.323,48.263179,11.658674
1754910771,44.8,0.293,48.263275,11.658746
1754910772,48.5,0.262,48.263375,11.65882
1754910773,44.9,0.243,48.263481,11.658897
1754910774,58.8,0.409,48.263595,11.658979
1754910775,123.0,0.244,48.263712,11.659065
1754910776,52.8,0.247,48.263831,11.659155
1754910777,50.4,0.248,48.263951,11.659249
1754910778,45.5,0.242,48.264073,11.659342
