frame_index,video_timestamp_ns,source_timestamp_ns,is_repeat
0,0,1754910535615756730,0
1,23221115,1754910535638977845,0
2,40482836,1754910535656239566,0
3,74037816,1754910535689794546,0
4,93564309,1754910535709321039,0
5,125000000,1754910535709321039,1
6,128107380,1754910535743864110,0
7,152607441,1754910535768364171,0
8,166518725,1754910535782275455,0
9,199406913,1754910535815163643,0
10,220310903,1754910535836067633,0
11,249469472,1754910535865226202,0
12,256367307,1754910535872124037,0
13,300240405,1754910535915997135,0
14,350000000,1754910535915997135,1
15,350671388,1754910535966428118,0
16,363620280,1754910535979377010,0
17,398919966,1754910536014676696,0
18,428467273,1754910536044224003,0
19,442923114,1754910536058679844,0
20,468025767,1754910536083782497,0
21,488879100,1754910536104635830,0
22,534430786,1754910536150187516,0
23,540513185,1754910536156269915,0
24,570272353,1754910536186029083,0
25,592352590,1754910536208109320,0
26,619244232,1754910536235000962,0
27,645183755,1754910536260940485,0
28,670244515,1754910536286001245,0
29,719972699,1754910536335729429,0
30,750000000,1754910536335729429,1
31,750371402,1754910536366128132,0
32,764813237,1754910536380569967,0
33,788991819,1754910536404748549,0
34,821475218,1754910536437231948,0
35,845764566,1754910536461521296,0
36,869895112,1754910536485651842,0
37,897067598,1754910536512824328,0
38,921242753,1754910536536999483,0
39,945234625,1754910536560991355,0
40,967820701,1754910536583577431,0
41,996654198,1754910536612410928,0
42,1020126478,1754910536635883208,0
43,1042852343,1754910536658609073,0
44,1094283078,1754910536710039808,0
45,1119599070,1754910536735355800,0
46,1143883528,1754910536759640258,0
47,1175000000,1754910536759640258,1
48,1177338636,1754910536793095366,0
49,1197424114,1754910536813180844,0
50,1218968770,1754910536834725500,0
51,1242803041,1754910536858559771,0
52,1264086657,1754910536879843387,0
53,1286457411,1754910536902214141,0
54,1317067274,1754910536932824004,0
55,1350044052,1754910536965800782,0
56,1365305610,1754910536981062340,0
57,1402460076,1754910537018216806,0
58,1417712895,1754910537033469625,0
59,1469217227,1754910537084973957,0
60,1489870676,1754910537105627406,0
61,1522764701,1754910537138521431,0
62,1537516762,1754910537153273492,0
63,1575000000,1754910537153273492,1
64,1576715456,1754910537192472186,0
65,1589358768,1754910537205115498,0
66,1620665547,1754910537236422277,0
67,1645270939,1754910537261027669,0
68,1673523695,1754910537289280425,0
69,1698532026,1754910537314288756,0
70,1722862668,1754910537338619398,0
71,1742073814,1754910537357830544,0
72,1771427846,1754910537387184576,0
73,1804001496,1754910537419758226,0
74,1846067121,1754910537461823851,0
75,1875000000,1754910537461823851,1
76,1877345814,1754910537493102544,0
77,1889113425,1754910537504870155,0
78,1916329704,1754910537532086434,0
79,1947463152,1754910537563219882,0
80,1968425974,1754910537584182704,0
81,1993206052,1754910537608962782,0
82,2021782992,1754910537637539722,0
83,2042566658,1754910537658323388,0
84,2065746975,1754910537681503705,0
85,2099532900,1754910537715289630,0
86,2128743254,1754910537744499984,0
87,2142097889,1754910537757854619,0
88,2166837013,1754910537782593743,0
89,2225000000,1754910537782593743,1
90,2227802625,1754910537843559355,0
91,2275000000,1754910537843559355,1
92,2300000000,1754910537843559355,1
93,2325000000,1754910537843559355,1
94,2350000000,1754910537843559355,1
95,2375000000,1754910537843559355,1
96,2400000000,1754910537843559355,1
97,2425000000,1754910537843559355,1
98,2450000000,1754910537843559355,1
99,2475000000,1754910537843559355,1
100,2500000000,1754910537843559355,1
101,2525000000,1754910537843559355,1
102,2550000000,1754910537843559355,1
103,2575000000,1754910537843559355,1
104,2600000000,1754910537843559355,1
105,2625000000,1754910537843559355,1
106,2650000000,1754910537843559355,1
107,2675000000,1754910537843559355,1
108,2700000000,1754910537843559355,1
109,2725000000,1754910537843559355,1
110,2750000000,1754910537843559355,1
111,2762958680,1754910538378715410,0
112,2800000000,1754910538378715410,1
113,2805102249,1754910538420858979,0
114,2832453801,1754910538448210531,0
115,2843706561,1754910538459463291,0
116,2872186404,1754910538487943134,0
117,2895500469,1754910538511257199,0
118,2918703141,1754910538534459871,0
119,2975000000,1754910538534459871,1
120,2979358582,1754910538595115312,0
121,2991317362,1754910538607074092,0
122,3018069136,1754910538633825866,0
123,3042734031,1754910538658490761,0
124,3073327628,1754910538689084358,0
125,3087296815,1754910538703053545,0
126,3126450571,1754910538742207301,0
127,3141522162,1754910538757278892,0
128,3175251598,1754910538791008328,0
129,3189287070,1754910538805043800,0
130,3227366260,1754910538843122990,0
131,3239736540,1754910538855493270,0
132,3263187153,1754910538878943883,0
133,3288880456,1754910538904637186,0
134,3348194397,1754910538963951127,0
135,3370114020,1754910538985870750,0
136,3388070457,1754910539003827187,0
137,3416747583,1754910539032504313,0
138,3444976850,1754910539060733580,0
139,3466344516,1754910539082101246,0
140,3500000000,1754910539082101246,1
141,3507314693,1754910539123071423,0
142,3518729743,1754910539134486473,0
143,3539404479,1754910539155161209,0
144,3568621157,1754910539184377887,0
145,3590331209,1754910539206087939,0
146,3619335943,1754910539235092673,0
147,3643274249,1754910539259030979,0
148,3668782960,1754910539284539690,0
149,3725000000,1754910539284539690,1
150,3726339786,1754910539342096516,0
151,3749398131,1754910539365154861,0
152,3762419600,1754910539378176330,0
153,3797962922,1754910539413719652,0
154,3824852647,1754910539440609377,0
155,3843621523,1754910539459378253,0
156,3869742819,1754910539485499549,0
157,3890278449,1754910539506035179,0
158,3920776365,1754910539536533095,0
159,3945946423,1754910539561703153,0
160,3969930411,1754910539585687141,0
161,3990204288,1754910539605961018,0
162,4016949759,1754910539632706489,0
163,4040267757,1754910539656024487,0
164,4094869820,1754910539710626550,0
165,4121819487,1754910539737576217,0
166,4143072056,1754910539758828786,0
167,4165227137,1754910539780983867,0
168,4198605989,1754910539814362719,0
169,4225000000,1754910539814362719,1
170,4226976108,1754910539842732838,0
171,4249281736,1754910539865038466,0
172,4265469908,1754910539881226638,0
173,4292439644,1754910539908196374,0
174,4318960513,1754910539934717243,0
175,4340573518,1754910539956330248,0
176,4375911113,1754910539991667843,0
177,4401735441,1754910540017492171,0
178,4419930503,1754910540035687233,0
179,4475000000,1754910540035687233,1
180,4477279847,1754910540093036577,0
181,4487806269,1754910540103562999,0
182,4526716157,1754910540142472887,0
183,4540479905,1754910540156236635,0
184,4578345079,1754910540194101809,0
185,4594050549,1754910540209807279,0
186,4622579672,1754910540238336402,0
187,4642325985,1754910540258082715,0
188,4668042761,1754910540283799491,0
189,4697205493,1754910540312962223,0
190,4730200339,1754910540345957069,0
191,4743417266,1754910540359173996,0
192,4765305514,1754910540381062244,0
193,4792704634,1754910540408461364,0
194,4845716616,1754910540461473346,0
195,4870948271,1754910540486705001,0
196,4892961064,1754910540508717794,0
197,4922435944,1754910540538192674,0
198,4947767895,1754910540563524625,0
199,4975000000,1754910540563524625,1
200,4975663503,1754910540591420233,0
201,4999592073,1754910540615348803,0
202,5026277874,1754910540642034604,0
203,5075000000,1754910540642034604,1
204,5100000000,1754910540642034604,1
205,5125000000,1754910540642034604,1
206,5150000000,1754910540642034604,1
207,5175000000,1754910540642034604,1
208,5200000000,1754910540642034604,1
209,5225000000,1754910540642034604,1
210,5250000000,1754910540642034604,1
211,5275000000,1754910540642034604,1
212,5300000000,1754910540642034604,1
213,5325000000,1754910540642034604,1
214,5350000000,1754910540642034604,1
215,5375000000,1754910540642034604,1
216,5400000000,1754910540642034604,1
217,5425000000,1754910540642034604,1
218,5450000000,1754910540642034604,1
219,5475000000,1754910540642034604,1
220,5500000000,1754910540642034604,1
221,5525000000,1754910540642034604,1
222,5540226602,1754910541155983332,0
223,5575000000,1754910541155983332,1
224,5589377933,1754910541205134663,0
225,5625000000,1754910541205134663,1
226,5625459867,1754910541241216597,0
227,5648263546,1754910541264020276,0
228,5663886721,1754910541279643451,0
229,5693493001,1754910541309249731,0
230,5722850198,1754910541338606928,0
231,5740549670,1754910541356306400,0
232,5775207465,1754910541390964195,0
233,5789794006,1754910541405550736,0
234,5813524424,1754910541429281154,0
235,5843388420,1754910541459145150,0
236,5869207087,1754910541484963817,0
237,5892346449,1754910541508103179,0
238,5915972482,1754910541531729212,0
239,5974036926,1754910541589793656,0
240,5992746594,1754910541608503324,0
241,6023189722,1754910541638946452,0
242,6050000000,1754910541638946452,1
243,6063153174,1754910541678909904,0
244,6073250132,1754910541689006862,0
245,6089722488,1754910541705479218,0
246,6117432748,1754910541733189478,0
247,6153930645,1754910541769687375,0
248,6180292544,1754910541796049274,0
249,6199601544,1754910541815358274,0
250,6225400033,1754910541841156763,0
251,6247340307,1754910541863097037,0
252,6264756014,1754910541880512744,0
253,6288439929,1754910541904196659,0
254,6348591065,1754910541964347795,0
255,6375000000,1754910541964347795,1
256,6375095572,1754910541990852302,0
257,6403738957,1754910542019495687,0
258,6424966417,1754910542040723147,0
259,6451889967,1754910542067646697,0
260,6467885136,1754910542083641866,0
261,6496631027,1754910542112387757,0
262,6525787281,1754910542141544011,0
263,6556980775,1754910542172737505,0
264,6574133926,1754910542189890656,0
265,6612204645,1754910542227961375,0
266,6619335216,1754910542235091946,0
267,6653082005,1754910542268838735,0
268,6667032360,1754910542282789090,0
269,6725000000,1754910542282789090,1
270,6728386002,1754910542344142732,0
271,6743263296,1754910542359020026,0
272,6772042780,1754910542387799510,0
273,6791857551,1754910542407614281,0
274,6813246531,1754910542429003261,0
275,6846538135,1754910542462294865,0
276,6869775597,1754910542485532327,0
277,6896101149,1754910542511857879,0
278,6913846767,1754910542529603497,0
279,6934413085,1754910542550169815,0
280,6963558915,1754910542579315645,0
281,6991393911,1754910542607150641,0
282,7018221464,1754910542633978194,0
283,7041444188,1754910542657200918,0
284,7088049935,1754910542703806665,0
285,7116249520,1754910542732006250,0
286,7137812897,1754910542753569627,0
287,7159512790,1754910542775269520,0
288,7192980613,1754910542808737343,0
289,7220056963,1754910542835813693,0
290,7237331440,1754910542853088170,0
291,7275000000,1754910542853088170,1
292,7277276405,1754910542893033135,0
293,7288505458,1754910542904262188,0
294,7329239140,1754910542944995870,0
295,7344642583,1754910542960399313,0
296,7370999197,1754910542986755927,0
297,7392196903,1754910543007953633,0
298,7425272819,1754910543041029549,0
299,7475000000,1754910543041029549,1
300,7475702907,1754910543091459637,0
301,7492176068,1754910543107932798,0
302,7514265364,1754910543130022094,0
303,7540223704,1754910543155980434,0
304,7572805164,1754910543188561894,0
305,7591345226,1754910543207101956,0
306,7625808035,1754910543241564765,0
307,7652460343,1754910543268217073,0
308,7677374919,1754910543293131649,0
309,7690891397,1754910543306648127,0
310,7729071973,1754910543344828703,0
311,7741808927,1754910543357565657,0
312,7773447258,1754910543389203988,0
313,7789581724,1754910543405338454,0
314,7845981539,1754910543461738269,0
315,7875000000,1754910543461738269,1
316,7876656956,1754910543492413686,0
317,7900987201,1754910543516743931,0
318,7917656229,1754910543533412959,0
319,7942185144,1754910543557941874,0
320,7966234827,1754910543581991557,0
321,7997408049,1754910543613164779,0
322,8018455684,1754910543634212414,0
323,8051337807,1754910543667094537,0
324,8074138473,1754910543689895203,0
325,8104312634,1754910543720069364,0
326,8124897368,1754910543740654098,0
327,8144413765,1754910543760170495,0
328,8174177133,1754910543789933863,0
329,8216728108,1754910543832484838,0
330,8250000000,1754910543832484838,1
331,8255922888,1754910543871679618,0
