time_bin_start,time_bin_end,mean,median,min,max,std,count
1754910572,1754910582,47.28,45.95,42.6,53.1,4.11,10
1754910582,1754910592,47.53,46.85,39.7,59.1,5.95,10
1754910592,1754910602,47.94,47.9,40.6,62.5,6.25,10
1754910602,1754910612,47.63,47.75,37.7,58.8,5.57,10
1754910612,1754910622,46.29,46.75,37.1,53.8,4.85,10
1754910622,1754910632,47.02,45.8,42.8,53.8,3.74,10
1754910632,1754910642,49.88,49.0,41.7,59.7,5.82,10
1754910642,1754910652,46.49,45.15,37.1,57.7,6.01,10
1754910652,1754910662,43.93,44.25,37.0,48.8,4.0,10
1754910662,1754910672,48.76,47.4,40.2,62.8,6.08,10
1754910672,1754910682,49.52,47.75,41.8,59.8,5.99,10
1754910682,1754910692,50.22,51.45,42.2,57.9,4.8,10
1754910692,1754910702,53.83,51.9,40.0,73.0,11.09,10
1754910702,1754910712,49.8,49.8,44.8,57.1,3.66,10
1754910712,1754910722,48.77,48.5,41.9,55.0,4.31,10
1754910722,1754910732,52.96,53.05,45.6,66.1,5.96,10
1754910732,1754910742,48.93,49.2,40.0,59.1,7.02,10
1754910742,1754910752,48.81,47.5,37.7,60.8,8.69,10
1754910752,1754910762,47.17,46.7,40.9,55.1,4.21,10
1754910762,1754910772,45.59,45.45,35.8,51.4,4.36,10
1754910772,1754910782,57.04,50.6,44.7,123.0,23.56,10
1754910782,1754910792,47.35,48.6,35.5,55.0,6.33,10
1754910792,1754910802,50.26,48.6,41.8,69.8,8.3,10
1754910802,1754910812,50.94,51.5,42.0,62.1,6.12,10
1754910812,1754910822,48.48,47.8,38.1,58.3,6.49,10
1754910822,1754910832,46.78,47.45,40.8,52.0,3.77,10
1754910832,1754910842,47.24,44.35,38.9,62.2,7.93,10
1754910842,1754910852,51.22,53.65,39.4,60.8,7.39,10
1754910852,1754910862,48.1,45.1,39.9,60.8,7.43,10
1754910862,1754910872,47.9,46.7,40.3,54.7,5.39,10
1754910872,1754910882,46.94,44.8,36.9,63.0,8.87,10
1754910882,1754910892,45.85,45.35,40.8,51.7,3.09,10
1754910892,1754910902,48.1,46.9,37.3,56.9,6.54,10
1754910902,1754910912,46.8,45.45,37.2,60.1,6.74,10
1754910912,1754910922,51.45,52.35,41.9,57.8,5.49,10
1754910922,1754910932,45.67,45.05,36.2,55.2,6.48,10
1754910932,1754910942,49.91,50.55,36.9,63.9,8.66,10
1754910942,1754910952,54.58,52.8,39.1,93.9,15.09,10
1754910952,1754910962,51.65,47.5,36.9,84.7,13.92,10
1754910962,1754910972,49.47,49.5,41.4,55.1,5.01,10
1754910972,1754910982,47.55,47.05,36.4,63.7,9.57,10
1754910982,1754910992,56.17,53.5,37.8,75.3,12.34,10
1754910992,1754911002,50.98,49.95,39.8,64.7,7.53,10
1754911002,1754911012,53.91,52.4,45.7,69.5,6.76,10
1754911012,1754911022,77.3,65.0,39.2,216.0,51.09,10
1754911022,1754911032,55.54,50.75,43.0,112.0,20.17,10
1754911032,1754911042,46.57,45.2,40.1,52.9,4.22,10
1754911042,1754911052,52.18,50.15,41.7,67.1,8.12,10
1754911052,1754911062,51.22,51.85,42.0,61.1,5.98,10
1754911062,1754911072,48.82,47.9,41.8,56.1,5.48,10
1754911072,1754911082,49.97,48.85,37.7,57.6,5.97,10
1754911082,1754911092,47.32,47.6,40.1,61.3,6.42,10
1754911092,1754911102,49.03,48.95,37.8,61.9,7.74,10
1754911102,1754911112,45.15,45.9,37.8,52.9,4.54,10
1754911112,1754911122,51.1,48.0,39.1,87.9,13.79,10
1754911122,1754911132,47.36,48.1,39.0,52.8,4.65,10
1754911132,1754911142,45.66,44.5,37.9,57.6,5.5,10
1754911142,1754911152,45.36,44.95,38.8,50.8,4.34,10
1754911152,1754911162,46.08,45.0,40.9,57.1,4.82,10
1754911162,1754911172,47.76,46.55,41.6,59.6,5.98,10
1754911172,1754911182,46.83,43.8,36.6,59.3,8.63,10
1754911182,1754911192,47.67,47.0,42.8,56.8,3.94,10
1754911192,1754911202,45.74,45.55,37.6,53.9,4.48,10
1754911202,1754911212,44.57,43.95,36.3,59.9,6.55,10
1754911212,1754911222,46.21,45.1,36.8,59.4,6.9,10
1754911222,1754911232,47.15,45.85,35.6,61.8,7.71,10
1754911232,1754911242,45.35,43.7,38.2,55.8,6.13,10
1754911242,1754911252,44.49,44.7,38.5,49.5,3.34,10
1754911252,1754911262,45.89,45.3,36.4,55.7,5.84,10
1754911262,1754911272,43.81,44.4,36.2,53.8,5.57,10
1754911272,1754911282,48.16,47.8,37.6,59.7,5.91,10
1754911282,1754911292,45.18,46.15,38.2,51.8,5.12,10
1754911292,1754911302,45.42,44.7,39.1,53.2,4.15,10
1754911302,1754911312,45.66,45.7,37.9,58.3,5.86,10
1754911312,1754911322,46.11,45.25,39.8,51.9,3.47,10
1754911322,1754911332,47.91,48.35,37.0,59.0,6.74,10
1754911332,1754911342,46.08,46.15,39.9,51.8,3.8,10
1754911342,1754911352,48.95,48.25,38.6,73.0,10.05,10
1754911352,1754911362,49.98,48.45,44.8,57.6,4.49,10
1754911362,1754911372,47.21,47.4,37.9,57.7,6.39,10
1754911372,1754911382,49.15,47.05,40.0,64.6,7.67,10
1754911382,1754911392,49.56,45.2,38.5,97.9,17.27,10
1754911392,1754911402,46.04,45.7,40.9,56.3,4.66,10
1754911402,1754911412,47.09,44.65,41.0,62.5,6.82,10
1754911412,1754911422,44.14,44.4,36.6,53.4,5.68,10
1754911422,1754911432,45.81,45.4,38.2,60.9,6.73,10
1754911432,1754911442,51.94,51.65,38.8,64.6,8.8,10
1754911442,1754911452,47.72,46.55,39.2,67.3,7.83,10
1754911452,1754911462,48.06,46.8,40.0,58.1,5.41,10
1754911462,1754911472,44.87,45.15,41.0,49.4,2.6,10
1754911472,1754911482,44.54,45.7,36.7,54.8,6.19,10
1754911482,1754911492,46.06,45.25,38.1,63.0,7.72,10
1754911492,1754911502,44.91,44.0,36.8,59.1,6.91,10
1754911502,1754911512,43.9,44.3,36.1,48.8,4.09,10
1754911512,1754911522,46.8,46.65,39.6,60.0,6.23,10
1754911522,1754911532,45.92,44.15,38.8,55.9,6.08,10
1754911532,1754911542,46.19,47.7,40.5,51.4,4.16,10
1754911542,1754911552,51.61,51.45,39.9,63.9,7.13,10
1754911552,1754911562,51.28,49.5,40.1,81.6,11.73,10
1754911562,1754911572,44.83,44.35,36.7,53.9,6.7,10
1754911572,1754911582,45.95,45.85,38.0,52.8,4.17,10
1754911582,1754911592,44.25,43.45,38.1,52.1,5.47,10
1754911592,1754911602,47.07,47.8,36.7,60.0,6.93,10
